상가업소번호	상호명	지점명	상권업종대분류코드	상권업종대분류명	상권업종중분류코드	상권업종중분류명	상권업종소분류코드	상권업종소분류명	표준산업분류코드	표준산업분류명	시도코드	시도명	시군구코드	시군구명	행정동코드	행정동명	법정동코드	법정동명	지번코드	대지구분코드	대지구분명	지번본번지	지번부번지	지번주소	도로명코드	도로명	건물본번지	건물부번지	건물관리번호	건물명	도로명주소	구우편번호	신우편번호	동정보	층정보	호정보	경도	위도
16594954	이디야커피	국회의사당역점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11560	영등포구	1156054000	여의동	1156011000	여의도동	1156011000100170000	1	대지	17	13	서울특별시 영등포구 여의도동 17-13	115602118002	서울특별시 영등포구 의사당대로	22		1156011000100170000000000	이룸센터	서울특별시 영등포구 의사당대로 22	150917	7236		10		126.9178245292	37.5268559602
16691690	이디야커피	목동신트리점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11470	양천구	1147064000	신정3동	1147010100	신정동	1147010100112670000	1	대지	1267		서울특별시 양천구 신정동 1267	114703005066	서울특별시 양천구 신정로	312		1147010100112670000000000	뉴프라자	서울특별시 양천구 신정로 312	158073	8106		1		126.8554911216	37.5132663268
11796960	이디야커피	노원사거리점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11350	노원구	1135069500	상계6.7동	1135010500	상계동	1135010500107300000	1	대지	730	5	서울특별시 노원구 상계동 730-5	113503000001	서울특별시 노원구 동일로	1393		1135010500107300000000000	일신프라자	서울특별시 노원구 동일로 1393	139200	1762		1		127.0605346681	37.6529350519
25869538	이디야커피	면목본동점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11260	중랑구	1126056500	면목본동	1126010100	면목동	1126010100104120000	1	대지	412	4	서울특별시 중랑구 면목동 412-4	112603005027	서울특별시 중랑구 면목로	370		1126010100104120000000000		서울특별시 중랑구 면목로 370	131200	2205		1		127.0885297156	37.5849458654
25847558	이디야커피	안국역점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11110	종로구	1111060000	가회동	1111014700	재동	1111014700101060000	1	대지	106	4	서울특별시 종로구 재동 106-4	111103100004	서울특별시 종로구 북촌로	1		1111014700101060000000000		서울특별시 종로구 북촌로 1	110250	3060		3		126.9857842567	37.5770255865
19986877	이디야커피	IBK점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11140	중구	1114055000	명동	1114010500	을지로2가	1114010500100500000	1	대지	50		서울특별시 중구 을지로2가 50	111403101006	서울특별시 중구 을지로	79		1114010500100500000000000	기업은행	서울특별시 중구 을지로 79	100758	4541		1		126.9865498212	37.5664809683
16701963	이디야커피	구의자양로점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11215	광진구	1121586000	구의2동	1121510300	구의동	1121510300100780000	1	대지	78	8	서울특별시 광진구 구의동 78-8	112153104010	서울특별시 광진구 자양로	251		1121510300100780000000000		서울특별시 광진구 자양로 251	143819	4992				127.0892959151	37.5489909131
23358839	이디야커피	메르디앙고척점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11530	구로구	1153072000	고척1동	1153010600	고척동	1153010600103430000	1	대지	343		서울특별시 구로구 고척동 343	115304148469	서울특별시 구로구 중앙로8길	11		1153010600100500000000000	고척월드메르디앙	서울특별시 구로구 중앙로8길 11	152080	8223		1		126.8632779904	37.5025200206
25262324	이디야커피	구로미성점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11530	구로구	1153051000	신도림동	1153010100	신도림동	1153010100103990000	1	대지	399		서울특별시 구로구 신도림동 399	115303116005	서울특별시 구로구 구로중앙로	228		1153010100103990000000000	기임빌딩	서울특별시 구로구 구로중앙로 228	152887	8205	106			126.8765916153	37.5061614583
19993221	이디야커피	개롱역점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11710	송파구	1171057000	오금동	1171011200	오금동	1171011200101650000	1	대지	165		서울특별시 송파구 오금동 165	117103123014	서울특별시 송파구 오금로	407		1171011200101650000000000	상아아파트	서울특별시 송파구 오금로 407	138738	5741		1		127.1365705785	37.4986344981
